screen_id,category,total_elements,clickable_elements
1129,other,25,3
66520,other,46,9
68094,other,45,5
60583,other,8,3
48031,finance,30,6
35335,games,101,4
41642,food,91,10
10371,food,42,12
72210,other,27,2
33536,other,23,6
29956,other,75,12
59805,utility,63,14
35983,other,29,6
66315,other,49,15
68836,other,26,6
7868,other,82,26
65169,games,63,10
37857,other,51,10
45670,other,92,8
59427,other,93,17
5857,other,15,2
46171,other,94,15
6278,finance,29,8
49804,other,23,6
69225,other,31,6
24799,other,7,1
42417,other,14,3
24731,other,39,10
28294,other,42,6
38986,productivity,26,3
42225,games,99,13
11923,other,7,2
35906,other,92,14
32526,health,16,3
54278,utility,31,3
5491,social,7,1
62667,other,50,9
369,travel,34,8
57903,other,35,9
21135,other,6,1
65489,other,112,47
41002,other,97,21
70617,other,18,2
18533,other,92,24
51088,other,14,1
45391,other,16,1
1177,other,25,2
69778,other,29,4
36237,other,123,20
49074,utility,37,7
47332,other,140,26
53881,shopping,69,4
11803,other,25,4
15596,games,13,2
5249,other,18,9
38503,social,5,1
19067,other,33,16
67162,other,68,12
40630,other,20,4
22283,other,20,1
13338,other,19,5
27429,other,23,3
35257,travel,25,2
3193,other,26,7
24196,other,17,3
4020,other,30,13
3190,utility,35,10
32608,finance,18,2
60299,social,8,1
68034,other,21,3
35260,other,45,10
28659,utility,21,3
59714,other,7,2
7733,utility,33,3
64922,other,34,5
38011,other,32,2
26861,other,42,1
65117,health,89,18
1547,other,102,9
41208,news,78,22
11280,other,52,18
59517,other,35,21
45746,other,12,4
13465,other,22,2
7778,other,33,7
33414,other,30,6
25032,travel,37,7
53,other,59,2
14578,other,38,5
61619,health,72,18
8107,other,14,1
53098,other,8,3
12698,other,8,4
59850,utility,50,10
12048,other,45,2
7637,other,32,5
26548,other,86,21
23390,utility,69,18
65396,utility,67,17
11343,games,47,13
51030,other,21,2
20281,other,25,9
2600,other,49,10
18445,games,9,1
41415,other,32,5
54311,other,39,5
17670,other,30,5
47308,other,57,2
7526,other,53,9
24636,other,94,30
40855,other,37,10
56310,social,39,7
27149,other,18,5
60666,other,18,1
34624,other,24,5
21318,other,19,2
49988,other,51,7
50070,food,149,21
8501,other,22,6
59451,other,8,1
57527,other,45,13
1768,other,18,3
61398,other,32,10
6409,social,7,1
21046,other,82,14
8560,social,20,4
30753,other,19,2
9347,other,23,6
48233,other,33,7
11691,health,37,11
71218,other,87,20
30807,other,29,5
48038,news,28,4
54801,other,46,11
69844,other,74,21
8164,food,63,17
35015,other,46,9
36416,other,52,13
72130,other,17,2
57317,other,40,12
23328,other,75,2
15093,other,18,7
49086,utility,22,1
55711,other,11,5
9126,other,17,4
51424,other,23,2
26265,other,45,9
16835,other,8,1
56170,other,20,6
6103,other,75,11
30132,other,12,2
66121,other,29,7
55273,news,80,12
49609,other,93,7
63152,utility,139,9
18109,other,25,7
62546,other,49,15
47430,productivity,85,21
61701,travel,79,19
12746,other,70,17
33244,other,18,6
45297,other,6,1
38462,other,20,3
53773,other,14,1
3473,other,39,10
14599,other,20,8
43547,other,45,7
52844,news,36,8
32856,news,103,27
10841,other,21,5
66063,other,53,14
37920,social,7,1
64298,other,72,11
42549,other,31,2
17095,other,25,5
38810,games,42,7
8325,utility,155,11
34208,other,48,3
51977,other,19,5
68832,other,38,10
6472,games,45,8
40502,other,9,1
56795,other,22,1
20324,other,38,6
38965,other,31,6
219,other,27,1
5852,other,22,2
44553,social,7,1
8607,other,95,14
53019,social,7,1
28115,other,32,9
50643,other,18,5
63333,other,85,13
70621,other,63,18
45668,other,26,3
61197,other,46,9
42068,other,27,9
40845,other,49,13
3897,other,60,18
64522,other,37,6
5835,other,16,2
49108,other,68,14
27981,other,73,6
31560,other,80,19
66208,other,16,1
26426,other,35,2
64848,other,23,7
71601,other,56,11
15799,other,28,6
28706,other,47,12
68158,food,35,6
39946,utility,91,16
26328,other,8,3
5961,other,42,9
40835,other,26,4
47679,other,12,3
50302,finance,20,2
54236,other,18,8
3525,other,16,3
32543,other,65,14
11903,games,26,4
42813,other,86,10
66162,other,29,9
31783,social,41,3
22290,other,20,4
42368,other,45,24
24222,shopping,33,4
3372,other,63,8
62647,other,46,9
27284,other,62,12
32803,social,68,17
28765,utility,13,2
68074,other,80,8
49340,other,58,12
56423,news,43,9
68061,other,60,12
28526,finance,26,3
46784,other,14,1
10679,shopping,21,6
4424,other,9,1
7544,other,63,3
22881,other,43,6
1571,other,32,4
2617,social,7,1
57634,other,19,2
37038,travel,40,10
42438,other,78,13
46745,other,8,3
60109,other,48,1
26106,other,17,2
55710,other,52,6
41582,food,25,8
52745,other,11,4
57095,other,98,5
42590,health,143,38
39765,other,11,1
62337,other,59,11
11133,other,63,13
16246,other,34,10
29684,other,51,14
2487,other,14,3
36911,other,15,1
55806,other,18,5
26293,other,38,2
30432,social,49,8
53944,other,130,22
48425,other,28,4
34633,other,30,10
41396,other,22,5
46634,other,45,12
4516,other,41,7
33016,other,21,3
3828,other,78,13
59326,other,41,6
46445,other,18,3
32195,other,25,3
3354,other,88,27
5653,news,17,1
40138,other,36,4
28165,other,39,14
30457,other,25,4
26806,other,29,3
2543,other,34,4
18084,other,21,4
57711,other,42,8
22972,other,30,11
31059,other,17,2
18007,other,164,7
59130,other,58,8
45528,other,79,26
7713,other,26,5
60358,other,46,1
55681,other,8,3
22516,other,43,8
22909,other,59,2
24535,other,116,20
58850,other,64,16
42124,food,43,3
2854,social,7,1
57929,other,21,1
48932,other,101,16
60232,other,54,12
44742,other,7,1
49380,social,7,1
28977,news,42,7
16725,other,47,15
64968,other,64,8
23068,other,64,15
29803,other,35,4
25230,social,15,1
3413,other,18,2
22119,other,8,2
3018,finance,7,1
10934,other,134,16
56838,other,27,3
9895,health,19,4
18466,health,32,6
28394,other,25,3
1303,other,25,2
1364,other,23,6
46627,other,60,11
29556,utility,20,3
56185,other,69,19
7297,other,28,3
18448,other,8,2
5212,other,30,1
67266,social,70,26
59762,other,24,5
42594,health,51,11
16876,games,29,4
6753,other,33,7
10817,other,25,4
47932,other,45,10
29059,other,44,10
41151,other,105,3
41745,utility,45,9
39274,utility,35,5
32825,other,36,12
22468,other,23,11
8608,other,19,2
13418,other,54,12
26876,other,31,7
72068,other,19,2
66846,other,22,7
41687,other,58,14
17649,other,24,2
64276,utility,87,5
14370,other,8,2
36660,games,29,10
42654,other,43,8
14961,other,32,14
48110,other,13,2
5156,other,52,7
55452,other,86,6
13583,other,19,4
20241,other,64,4
20018,social,20,4
63532,other,18,3
47241,other,36,7
7606,other,68,13
30279,games,6,1
15685,other,62,17
26602,news,29,4
17920,other,104,17
46925,other,12,2
6050,health,20,2
37659,other,8,3
50013,travel,48,2
49339,other,10,2
62202,other,6,1
50819,health,34,10
25121,other,69,3
61266,other,17,6
4461,other,44,12
9067,other,160,19
39929,other,21,3
69872,other,75,11
39429,other,71,22
29876,other,30,5
6673,other,32,7
48867,finance,34,20
38516,other,16,2
30382,other,128,23
47599,other,25,11
51012,social,5,1
14019,travel,30,8
5025,other,53,11
8283,other,29,6
58945,games,101,16
16634,other,16,2
7516,other,35,6
60394,other,74,13
23950,other,13,3
51315,other,90,20
24150,other,18,2
27733,other,28,6
53700,other,16,3
15425,other,30,6
20602,other,64,4
2608,other,40,11
21742,other,18,3
46544,utility,27,3
15025,other,153,53
20571,other,20,3
10160,other,49,1
3717,social,7,1
870,other,37,14
55633,utility,45,5
49194,other,16,2
41184,other,90,16
29499,news,62,15
12157,other,31,2
25526,other,7,1
29304,other,18,5
56774,other,32,5
28960,other,79,17
56537,other,93,3
66698,other,43,8
40157,other,29,6
14775,other,134,7
55508,other,32,12
25662,other,94,15
70888,other,8,3
27728,other,27,4
62028,other,75,5
62235,games,35,8
51279,other,31,8
48944,other,54,11
53753,other,17,4
63053,utility,39,8
71519,travel,22,9
23299,other,22,4
3825,other,102,10
17694,other,9,1
46075,finance,32,5
25069,news,61,18
5285,other,58,5
20005,other,19,2
69867,other,56,9
27792,other,13,2
64593,other,22,5
19531,other,121,3
9899,other,44,7
13978,games,38,9
21189,other,32,10
62319,utility,20,2
30526,other,19,8
9538,news,58,10
59512,other,40,12
64430,other,31,3
47637,other,31,4
70720,other,19,4
29334,other,71,14
39193,other,71,14
18330,news,103,31
41108,other,22,3
55590,other,43,15
30293,food,121,9
56326,utility,57,10
36769,other,15,2
72207,other,26,2
28250,other,37,2
43189,other,20,4
45786,other,36,10
42781,other,40,13
39107,productivity,119,11
15380,other,28,3
49455,other,32,9
12674,other,40,10
68674,other,107,15
38719,utility,64,17
58564,other,68,19
31561,other,112,21
49831,other,31,4
26739,other,18,5
11702,other,25,5
16131,social,7,1
25325,other,92,22
8392,other,25,4
54618,other,8,2
65184,other,17,8
66750,other,51,13
48001,other,17,3
48780,other,35,9
7707,other,29,6
11365,news,86,17
60530,other,181,36
54496,other,6,1
64227,utility,48,11
28073,other,27,2
48064,other,22,3
12696,other,29,5
60416,other,38,11
5998,other,25,6
2183,finance,41,13
41219,news,97,14
4438,games,52,12
53082,other,55,12
394,travel,80,8
70396,other,18,1
28653,other,56,8
2227,other,107,8
48673,utility,59,13
3899,other,60,18
51929,other,50,12
63757,other,24,9
42652,other,21,2
16125,utility,84,19
4119,other,54,32
33290,other,40,8
37154,other,11,1
32348,travel,28,13
31445,other,18,4
54353,other,18,4
17026,news,110,11
66580,news,56,4
20850,other,69,2
32120,other,17,2
37378,other,34,2
55947,other,51,9
42886,other,14,2
29310,other,52,5
53838,other,126,4
7369,health,26,6
36646,other,26,3
63703,news,31,1
60251,other,25,1
46425,shopping,47,11
12434,other,5,1
40207,other,98,3
15908,productivity,15,2
3099,other,60,19
26871,news,33,5
31632,other,14,1
17768,other,40,7
61033,other,8,2
36883,utility,17,3
67045,other,164,26
44115,other,50,12
64473,other,85,23
10069,food,36,19
53504,other,12,2
67320,shopping,6,1
45948,other,71,10
40648,other,79,12
3748,other,21,2
13620,games,8,1
22665,other,20,5
44348,other,20,3
34184,other,62,5
51110,other,12,1
60003,other,71,20
43069,social,7,1
51308,other,12,2
39389,other,49,8
6022,shopping,48,9
13433,other,12,3
2367,other,24,9
27886,other,22,3
46357,social,19,3
18757,other,39,9
71131,other,41,3
2930,other,85,10
39131,other,39,7
68105,other,62,5
56238,other,60,2
42160,other,18,1
18132,social,7,1
11913,other,12,4
51596,other,23,2
50203,other,20,5
62739,other,52,12
26044,other,258,46
56966,other,53,12
20691,other,55,8
30736,other,43,8
46472,other,14,2
10906,other,17,2
4656,other,92,17
37133,other,43,14
16255,other,21,4
9682,other,89,27
65541,other,16,2
70147,other,24,3
17611,news,48,13
40616,other,28,6
7483,other,13,1
1786,utility,64,14
52854,other,86,14
64937,other,18,2
20387,other,19,6
43061,news,12,3
71453,other,22,5
